video_id,subset,recipe_type,segment_id,segment_start,segment_end,sentence,predicted_label,review_reason,suggested_issue
xHr8X2Wpmno,validation,226,0,47,60,pick the ends off the verdalago,Cut,top1_below_0.35,top similarity score is too low
mZwK0TBI1iY,validation,201,5,96,102,spread sauce over the chicken,Cook-Heat,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
mZwK0TBI1iY,validation,201,6,102,107,top the chicken with mozzarella cheese,Cut,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
XOwypmUT5cc,training,321,0,77,98,mix sesame seeds with chicken breast,Season,margin_below_0.01,top label is barely separated from second label
XOwypmUT5cc,training,321,3,201,264,combine chicken stock dark soy sauce cooking wine hoisin sauce black vinegar sugar and sesame oil,Cook-Heat,margin_below_0.01;multiple_action_groups;multi_action_connector,top label is barely separated from second label; strong action groups detected: Mix|Cook-Heat; connector suggests a multi-step sentence
XOwypmUT5cc,training,321,6,513,579,fry some minced garlic roasted red chilli and the sauce,Season,multiple_action_groups;multi_action_connector,strong action groups detected: Cut|Cook-Heat|Bake; connector suggests a multi-step sentence
_xOx9hkJoBk,training,107,4,80,100,put the squid rings on a pan and cook the squid rings with oil poured on them,Cook-Heat,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
67ilysu8CeU,training,401,3,131,158,add the chicken and coat with the sauce,Cook-Heat,margin_below_0.01;multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Mix|Cook-Heat; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
gEYyWqs1oL0,validation,310,4,147,150,place wasabi next to the tuna,Plate,top1_below_0.35;low_confidence_sensitive_label,top similarity score is too low; Plate prediction is low-confidence and needs manual confirmation
nfYzqyureLo,training,222,2,81,123,discard the broken and bad mussels,Cut,top1_below_0.35,top similarity score is too low
skrWT6xHVoI,training,120,3,114,132,add the diced onions and mix,Cut,multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,strong action groups detected: Cut|Mix; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
skrWT6xHVoI,training,120,4,133,155,spread the mixture loosely on the cooking sheet with olive oil and place in the oven,Mix,margin_below_0.01;multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Mix|Cook-Heat|Bake; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
BGCW_PWhY9g,training,317,1,28,58,add minced garlic brown sugar soy sauce rice wine sesame oil honey and ground black pepper to a bowl,Mix,multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,strong action groups detected: Cut|Cook-Heat|Season; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
BGCW_PWhY9g,training,317,2,62,75,cut the chicken and combine it with the marinade,Cook-Heat,multiple_action_groups;multi_action_connector,strong action groups detected: Cut|Mix; connector suggests a multi-step sentence
BGCW_PWhY9g,training,317,4,94,98,sprinkle the chicken with green onions and serve,Plate,margin_below_0.01;multiple_action_groups;multi_action_connector;low_confidence_sensitive_label,top label is barely separated from second label; strong action groups detected: Season|Plate; connector suggests a multi-step sentence; Plate prediction is low-confidence and needs manual confirmation
