video_id,subset,recipe_type,segment_id,segment_start,segment_end,sentence,predicted_label,label_quality,recommended_sample_weight
--bv0V6ZjWI,training,205,0,8,23,crush and chop the garlic,Cut,good,1.0
--bv0V6ZjWI,training,205,1,23,47,add oil garlic and salt to a bowl,Season,good,1.0
--bv0V6ZjWI,training,205,2,64,76,mix the tomoatoes with the oil mixture,Mix,good,1.0
--bv0V6ZjWI,training,205,3,81,90,chop the basil,Cut,weak,0.5
--bv0V6ZjWI,training,205,4,90,116,spread the oil mixture onto the dough,Mix,good,1.0
--bv0V6ZjWI,training,205,5,131,153,place provolone cheese and mozzarella cheese onto the dough,Mix,weak,0.5
--bv0V6ZjWI,training,205,6,162,180,add the basil to the pizza,Plate,weak,0.5
--bv0V6ZjWI,training,205,7,184,199,place the tomatoes on the pizza,Cut,weak,0.5
--bv0V6ZjWI,training,205,8,222,232,sprinkle cheese onto the pizza,Cut,weak,0.5
--bv0V6ZjWI,training,205,9,232,250,bake the pizza in an oven,Bake,good,1.0
-AfxeTnCbVQ,training,301,1,82,121,add soy sauce cooking sherry white vinegar water and cornstarch to a bowl and mix the ingredients,Mix,good,1.0
-AfxeTnCbVQ,training,301,2,185,219,stir fry the chicken,Cook-Heat,good,1.0
-AfxeTnCbVQ,training,301,3,235,247,remove the chicken from the pan,Cook-Heat,good,1.0
-AfxeTnCbVQ,training,301,4,255,321,stir fry red bell pepper garlic garlic red chilis and peanuts,Season,good,1.0
-AfxeTnCbVQ,training,301,5,338,342,add the sauce to the pan,Cook-Heat,good,1.0
-AfxeTnCbVQ,training,301,6,372,385,add the chicken to the pan and stir,Cook-Heat,good,1.0
-AwyG1JcMp8,validation,309,0,44,92,combine kimchi sausage soy sauce sesame oil green onion ginger and red pepper flakes,Season,good,1.0
-AwyG1JcMp8,validation,309,2,160,181,place the dumplings above a pot of boiling water,Prep,good,1.0
-AwyG1JcMp8,validation,309,3,192,229,mix soy sauce orange juice honey and sesame seeds,Mix,good,1.0
