video_id,segment_id,sentence,predicted_label,review_reason
xHr8X2Wpmno,3,add verdalago pepper cucumbers tomatoes herbs and onions to the lettuce in the bowl,Prep,Margin below manual review threshold.
V53XmPeyjIU,0,combine salt butter milk and hot sauce in a bowl,Mix,Moderate-low margin with connector and multiple action groups detected: Mix|Season
V53XmPeyjIU,3,place chicken on a plate or tray and season generously with mixed spices,Season,Moderate-low margin with connector and multiple action groups detected: Season|Plate
mZwK0TBI1iY,5,spread sauce over the chicken,Cook-Heat,Margin below manual review threshold.
mZwK0TBI1iY,6,top the chicken with mozzarella cheese,Cut,Margin below manual review threshold.
XOwypmUT5cc,0,mix sesame seeds with chicken breast,Mix,Margin below manual review threshold.
XOwypmUT5cc,3,combine chicken stock dark soy sauce cooking wine hoisin sauce black vinegar sugar and sesame oil,Cook-Heat,Margin below manual review threshold.
_xOx9hkJoBk,4,put the squid rings on a pan and cook the squid rings with oil poured on them,Cook-Heat,Margin below manual review threshold.
67ilysu8CeU,3,add the chicken and coat with the sauce,Cook-Heat,Margin below manual review threshold.
gEYyWqs1oL0,4,place wasabi next to the tuna,Plate,Top1 score below manual review threshold.
nfYzqyureLo,1,pre heat oil in a bowl and add onions chili lemon grass ginger and garlic and stir it and put a lid on,Season,Moderate-low margin with connector and multiple action groups detected: Mix|Cook-Heat
nfYzqyureLo,4,chop fresh coriander and slice the lime,Prep,Margin below manual review threshold.
skrWT6xHVoI,4,spread the mixture loosely on the cooking sheet with olive oil and place in the oven,Mix,Margin below manual review threshold.
BGCW_PWhY9g,2,cut the chicken and combine it with the marinade,Cook-Heat,Low margin and multiple action groups detected: Cut|Mix
BGCW_PWhY9g,4,sprinkle the chicken with green onions and serve,Plate,Low margin and multiple action groups detected: Season|Plate
EjHxMfOdl1k,2,put the chicken black beans green onions cilantro and pepper in the rice,Season,Margin below manual review threshold.
Ap3g0IRcjzU,10,add the udon noodles and cook,Cook-Heat,Margin below manual review threshold.
4AIahLZfNq4,1,add shrimp paste cloves tumeric and curry powder to the food processor,Season,Margin below manual review threshold.
4AIahLZfNq4,4,stir the curry paste,Mix,Margin below manual review threshold.
7nH0Y3agsas,2,mix everything and let it cook,Mix,Moderate-low margin with connector and multiple action groups detected: Mix|Cook-Heat
7nH0Y3agsas,4,add flour mixture tomatoes herbs and seasoning to the pan and stir,Season,Margin below manual review threshold.
7nH0Y3agsas,5,garnish with parsley,Season,Margin below manual review threshold.
Kbrkj7wZ4UA,5,roll a ball of dough into a thin shape,Cut,Margin below manual review threshold.
Kbrkj7wZ4UA,7,flip the naan to the other side and cover the lid,Idle,Margin below manual review threshold.
TkK7BbBNPaY,6,add mashed potatoes on top of the lamb,Season,Margin below manual review threshold.
_bICKhr9AGo,0,place pieces of pork shoulder dark and light soy sauce chinese rice wine cinnamon sticks and water to a pot,Plate,Margin below manual review threshold.
_bICKhr9AGo,1,boil and remove the foam,Cook-Heat,Moderate-low margin with connector and multiple action groups detected: Prep|Cook-Heat
pOWe4zB-E-4,0,mix the maida rice flour suji curry leaves salt cumin seeds and hing,Season,Low margin and multiple action groups detected: Mix|Season
pOWe4zB-E-4,4,spread the batter in the pan,Mix,Margin below manual review threshold.
pOWe4zB-E-4,6,flip the dosa over,Idle,Top1 score below manual review threshold.
pOWe4zB-E-4,7,place the potato mixture on the dosa,Prep,Margin below manual review threshold.
pOWe4zB-E-4,8,fold the dosa over,Idle,Top1 score below manual review threshold.
zEdAA9Oxpdw,3,add salt ground mustard seed brown sugar and stir,Season,Low margin and multiple action groups detected: Mix|Season
7Ui4OCsawAU,2,finely chop a few hot peppers,Season,Margin below manual review threshold.
frCFxOt9390,4,add the spice powder to it and blend,Season,Low margin and multiple action groups detected: Mix|Season
frCFxOt9390,6,pour in the sauce stir and cover the pot,Mix,Margin below manual review threshold.
frCFxOt9390,8,cover the grill and cook,Cook-Heat,Margin below manual review threshold.
frCFxOt9390,10,replace the lid on the grill and cook,Cook-Heat,Margin below manual review threshold.
HXqC_xWsKkY,5,add diced tomatoes beef broth worcester sauce and minced garlic to a pan and stir,Season,Margin below manual review threshold.
HXqC_xWsKkY,8,mix corn starch and water in a bowl and stir with the stew,Mix,Margin below manual review threshold.
fn9anlEL4FI,1,add the lamb to the pot,Plate,Margin below manual review threshold.
fn9anlEL4FI,4,add water to the pot,Prep,Margin below manual review threshold.
_XxXWiOoyhY,5,combine gochujang soy sauce vinegar sesame seeds oil garlic and honey,Mix,Prediction is not clearly separated enough for normal use.
_XxXWiOoyhY,6,blend cilantro garlic lime juice and oil,Mix,Prediction is not clearly separated enough for normal use.
_XxXWiOoyhY,10,place the egg on top,Mix,Margin below manual review threshold.
qOB709GWcE8,2,put hot water in bowl place sieve on put poppy seed buns inside cover with towel to make buns softer,Mix,Margin below manual review threshold.
qOB709GWcE8,4,now spread green relish and then add chopped white onions on it,Cut,Margin below manual review threshold.
qOB709GWcE8,5,place slices of tomato in the edges and pickle and 2 pepper on top,Cut,Margin below manual review threshold.
wch6oe0FjN8,3,add ginger garlic and rice into the pan and stir it,Season,Margin below manual review threshold.
wch6oe0FjN8,5,transfer the rice into the pineapple bowl and garnish with cilantro,Mix,Margin below manual review threshold.
MZbrWzqEntk,0,chop the potatoes,Cut,Prediction is not clearly separated enough for normal use.
MZbrWzqEntk,1,add water and lentils to the pot,Season,Margin below manual review threshold.
MZbrWzqEntk,3,boil the potatoes and lentils,Cook-Heat,Margin below manual review threshold.
MZbrWzqEntk,10,add the cooked lentils to the soup,Plate,Prediction is not clearly separated enough for normal use.
#NAME?,0,mix water salt and sugar,Season,Moderate-low margin with connector and multiple action groups detected: Mix|Season
#NAME?,5,spread the soy air on the plate,Plate,Prediction is not clearly separated enough for normal use.
JxCBGlPgr5o,3,roll the dough out,Mix,Margin below manual review threshold.
JxCBGlPgr5o,5,brush the circles with egg washa and sprinkle with sesame seeds,Mix,Margin below manual review threshold.
JxCBGlPgr5o,6,cook the buns on a grill,Cook-Heat,Prediction is not clearly separated enough for normal use.
JxCBGlPgr5o,8,roll the beef out,Cut,Margin below manual review threshold.
NTyhMGmuWik,0,in pan take 1 pound ground beef add 1 finely chopped onions 2 cloves finely minced garlic cook 5 mins,Cook-Heat,Margin below manual review threshold.
NTyhMGmuWik,4,steam frankfurters for 4 minutes in same steamer place the hot dog buns and steam for a couple of minutes,Cook-Heat,Margin below manual review threshold.
NTyhMGmuWik,5,place frankfurter in middle of bun cover sausage with chili prepared earlier top with mustard sauce garnish with chopped onions,Plate,Margin below manual review threshold.
Moh7iYf2rGo,0,add flour pepper and salt to a bowl and mix,Mix,Moderate-low margin with connector and multiple action groups detected: Mix|Season
ntiGX3X-spA,6,stir in the bell pepper pieces and roasted peanuts  then add cooked chicken and give a quick stir,Season,Moderate-low margin with connector and multiple action groups detected: Mix|Season
ntiGX3X-spA,7,pour in some cooking wine oyster sauce soy sauce give stir and cook in high flame,Cook-Heat,Low margin and multiple action groups detected: Mix|Cook-Heat
ntiGX3X-spA,8,pour 2 ounces of chicken stock and stir,Mix,Prediction is not clearly separated enough for normal use.
DBgap0YANhs,2,mix the potatoes and onions in,Cook-Heat,Margin below manual review threshold.
DBgap0YANhs,5,mix fried onions with the rice,Mix,Margin below manual review threshold.
DBgap0YANhs,7,add soaked raisins and fried onion on top of the rice,Mix,Margin below manual review threshold.
z_ZHVTqbSZo,1,add green chili and coriander seeds cook on medium heat,Cook-Heat,Prediction is not clearly separated enough for normal use.
z_ZHVTqbSZo,2,add chopped onions and fry until brown,Cut,Margin below manual review threshold.
z_ZHVTqbSZo,8,fold into cone shape and fill with potato mix and pinch top closed,Mix,Margin below manual review threshold.
GmWb7W7m2vs,1,drain the water and boil it in pressure cooker,Cook-Heat,Moderate-low margin with connector and multiple action groups detected: Prep|Cook-Heat
GmWb7W7m2vs,3,add the lid and cook the rice,Cook-Heat,Margin below manual review threshold.
GmWb7W7m2vs,12,add the cooked rice,Plate,Margin below manual review threshold.
2p_h3s1CPoc,5,add flour cumin crushed coriander seeds baking soda and a little salt and pepper,Season,Moderate-low margin with connector and multiple action groups detected: Bake|Season
y-Jxli-JfPg,0,grate the potato and onion,Cut,Margin below manual review threshold.
y-Jxli-JfPg,5,place dollops of batter onto the pan and flatten,Mix,Margin below manual review threshold.
C_6yMh3tEQk,4,add pad thai sauce,Season,Margin below manual review threshold.
a4RwXrA1hiE,4,add the tofu and cook until the liquid is gone,Cook-Heat,Margin below manual review threshold.
a4RwXrA1hiE,6,add the udon noodles and let simmer,Idle,Prediction is not clearly separated enough for normal use.
Krmi9Is522c,5,roll and cut the dough,Cut,Margin below manual review threshold.
Krmi9Is522c,6,apply water to the edges make a cone stuff it with the filling and seal it,Mix,Margin below manual review threshold.
eQZEf3NCCo4,3,wrap the mat with plastic,Bake,Margin below manual review threshold.
1k64hSAAAd4,2,spread butter on the dish,Plate,Margin below manual review threshold.
1k64hSAAAd4,3,add pieces of english muffin and ham to the dish,Plate,Margin below manual review threshold.
